seed,problem,algorithm,n_eval,n_gen,gd,gd+,igd+,igd,-hv
0,ctp1,unsga3,377,29,0.013512184929427632,0.013439886507286546,0.022828784464047926,0.0529236631634322,-0.2780343320331805
0,ctp1,unsga3,390,30,0.012762036800868284,0.012671125337277886,0.022362168638455956,0.0526527085935245,-0.2786743506994207
0,ctp1,unsga3,403,31,0.012729000534534879,0.01263808907094448,0.022341901141649544,0.05263030466801618,-0.2786923661552833
0,ctp1,unsga3,416,32,0.011550402033261015,0.011205420186341589,0.022718257712531574,0.05331315370758652,-0.27782374063892634
0,ctp1,unsga3,429,33,0.012576393421315758,0.012237205256139125,0.02375689956122875,0.0537267790263831,-0.27668704537141536
0,ctp1,unsga3,442,34,0.010987252171495071,0.010557508250359249,0.022545112391468777,0.05312753444879857,-0.27793226274582256
0,ctp1,unsga3,455,35,0.012547527643714886,0.012197720964267522,0.021220194661696248,0.050979906118483624,-0.2801659178485176
0,ctp1,unsga3,468,36,0.012128440788936759,0.011778634109489398,0.021101768828428052,0.051027802357829305,-0.28041444865532117
0,ctp1,unsga3,481,37,0.013702372675513079,0.01358365408283562,0.021075614272677984,0.05104640484244426,-0.2802888353407154
0,ctp1,unsga3,494,38,0.014405741034079812,0.014297401055069344,0.02139606939326124,0.051195010023432935,-0.27989232630063987
0,ctp1,unsga3,507,39,0.013234514460848168,0.013126174481837699,0.021362736568420384,0.0511377332697002,-0.27992547781509725
0,dtlz1,nsga2,100,1,177.87380459982538,177.87380459982538,46.920459378185996,46.920459378185996,-0.0
0,dtlz1,nsga2,200,2,168.1560745710806,168.1560745710806,46.562840328839165,46.562840328839165,-0.0
0,dtlz1,nsga2,300,3,149.93557665638127,149.93557665638127,45.14754605112526,45.14754605112526,-0.0
0,dtlz1,nsga2,400,4,130.76839110876608,130.76839110876608,45.14754605112526,45.14754605112526,-0.0
0,dtlz1,nsga2,500,5,126.3803323583716,126.3803323583716,45.14754605112526,45.14754605112526,-0.0
0,dtlz1,nsga3,91,1,175.7563006658845,175.7563006658845,46.920459378185996,46.920459378185996,-0.0
0,dtlz1,nsga3,182,2,153.3877073766127,153.3877073766127,44.25698730593347,44.25698730593347,-0.0
0,dtlz1,nsga3,273,3,145.03958681991884,145.03958681991884,44.25698730593347,44.25698730593347,-0.0
0,dtlz1,nsga3,364,4,149.0389949443883,149.0389949443883,44.25698730593347,44.25698730593347,-0.0
0,dtlz1,nsga3,455,5,128.53670074268564,128.53670074268564,33.69618726278401,33.69618726278401,-0.0
0,dtlz1,nsga3,546,6,115.28660953845576,115.28660953845576,23.34685764631127,23.34685919098141,-0.0
0,dtlz1,unsga3,91,1,175.7563006658845,175.7563006658845,46.920459378185996,46.920459378185996,-0.0
0,dtlz1,unsga3,182,2,151.67140143237967,151.67140143237967,46.920459378185996,46.920459378185996,-0.0
0,dtlz1,unsga3,273,3,111.12582752923356,111.12582752923356,46.920459378185996,46.920459378185996,-0.0
0,dtlz1,unsga3,364,4,109.60464828231423,109.60464828231423,46.920459378185996,46.920459378185996,-0.0
0,dtlz1,unsga3,455,5,90.96497125250522,90.96497125250522,41.54126915438951,41.54126915438951,-0.0
0,dtlz1,unsga3,546,6,101.05356834370428,101.05356834370428,41.54126915438951,41.54126915438951,-0.0
0,dtlz2,nsga2,100,1,0.5485902289587972,0.5485589698923764,0.40973013318384377,0.4159558938378633,-0.03755832048592157
0,dtlz2,nsga2,200,2,0.5549604220368304,0.5549373890405203,0.3907538382401276,0.39941688571311945,-0.05277835229076334
0,dtlz2,nsga2,300,3,0.5166172099904828,0.5165870682298812,0.3615264252334941,0.3688463864120558,-0.056042159148736656
0,dtlz2,nsga2,400,4,0.46019686005068233,0.4601314344330406,0.28161754675470124,0.29819060712300655,-0.0967734124488073
0,dtlz2,nsga2,500,5,0.4313675350834624,0.4312128072339606,0.25348197089986246,0.26655154475050047,-0.1339259785969192
0,dtlz2,nsga3,91,1,0.555252271543489,0.5552321053678386,0.4437917178341474,0.44564623093952715,-0.03351782485164501
0,dtlz2,nsga3,182,2,0.5185803363777736,0.5185625871628264,0.4342682164597277,0.43672961022822426,-0.038024569416755936
0,dtlz2,nsga3,273,3,0.4988406228428956,0.49877300542530706,0.3608393588566509,0.3767887033427753,-0.043206692452169036
0,dtlz2,nsga3,364,4,0.4476803506617037,0.4476336773237004,0.3268381481800996,0.34106746015547224,-0.05344043424962551
0,dtlz2,nsga3,455,5,0.40615753660511134,0.4061180946913431,0.30112116956031515,0.3174921657384282,-0.0781672837354235
0,dtlz2,nsga3,546,6,0.2938537749389222,0.29374380111169973,0.21714207460565707,0.23283050077440784,-0.1132776883397039
0,dtlz2,unsga3,91,1,0.555252271543489,0.5552321053678386,0.4437917178341474,0.44564623093952715,-0.03351782485164501
0,dtlz2,unsga3,182,2,0.5250236844007498,0.5249422877944078,0.4187238776309203,0.43545767444414585,-0.036550419300646085
0,dtlz2,unsga3,273,3,0.4752498140832098,0.47521142141321093,0.37303317934583935,0.38200076392905824,-0.0407528227392579
0,dtlz2,unsga3,364,4,0.4365770299997366,0.4365607663360345,0.34007603607074255,0.348734615338171,-0.048824074337432494
0,dtlz2,unsga3,455,5,0.3749183546653611,0.3749056607437096,0.31057663239130084,0.31869547276317933,-0.07249846945232868
0,dtlz2,unsga3,546,6,0.3267383436908888,0.32633887493333513,0.24190395939641238,0.2736614259967833,-0.0748895106171861
0,dtlz3,nsga2,100,1,710.9368245502286,710.9368245502286,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,nsga2,200,2,695.088277204404,695.088277204404,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,nsga2,300,3,632.069644906661,632.069644906661,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,nsga2,400,4,587.7164287580728,587.7164287580728,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,nsga2,500,5,558.7174459980164,558.7174459980164,209.39243387481136,209.39243387481136,-0.0
0,dtlz3,nsga3,91,1,717.5970671199468,717.5970671199468,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,nsga3,182,2,689.2768509325659,689.2768509325659,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,nsga3,273,3,590.8262212448473,590.8262212448473,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,nsga3,364,4,553.4138613349963,553.4138613349963,250.45233230253817,250.45233230253817,-0.0
0,dtlz3,nsga3,455,5,527.5739313645338,527.5739313645338,250.45233230253817,250.45233230253817,-0.0
0,dtlz3,nsga3,546,6,505.597656271435,505.597656271435,250.45233230253817,250.45233230253817,-0.0
0,dtlz3,unsga3,91,1,717.5970671199468,717.5970671199468,285.68628105193676,285.68628105193676,-0.0
0,dtlz3,unsga3,182,2,670.724926332365,670.724926332365,261.559914977797,261.559914977797,-0.0
0,dtlz3,unsga3,273,3,577.1435690895293,577.1435690895293,261.559914977797,261.559914977797,-0.0
0,dtlz3,unsga3,364,4,574.5760513921334,574.5760513921334,223.91983278936667,223.91983278936667,-0.0
0,dtlz3,unsga3,455,5,533.3121921384004,533.3121921384004,223.91983278936667,223.91983278936667,-0.0
0,dtlz3,unsga3,546,6,494.895213259206,494.895213259206,183.5950262586494,183.5950262586494,-0.0
