seed,problem,algorithm,n_eval,n_gen,best
0,ackley,pattern-search,283,62,1.6546453096566438e-10
0,ackley,pattern-search,288,63,1.6546453096566438e-10
0,ackley,pattern-search,292,64,1.6546453096566438e-10
0,ackley,pattern-search,296,65,1.6546453096566438e-10
0,ackley,pattern-search,299,66,7.90909560066666e-11
0,ackley,pattern-search,304,67,7.90909560066666e-11
0,ackley,pattern-search,308,68,3.749578425527034e-11
0,ackley,pattern-search,313,69,3.749578425527034e-11
0,ackley,pattern-search,317,70,1.5159873356651588e-11
0,ackley,pattern-search,322,71,1.5159873356651588e-11
0,ackley,pattern-search,326,72,1.0480949441671328e-11
0,ackley,pattern-search,331,73,1.0480949441671328e-11
0,ackley,pattern-search,334,74,4.448441615068077e-12
0,ackley,pattern-search,339,75,4.448441615068077e-12
0,ackley,pattern-search,343,76,3.04867242562068e-12
0,ackley,pattern-search,348,77,3.04867242562068e-12
0,ackley,pattern-search,352,78,8.140155216551648e-13
0,ackley,pattern-search,357,79,8.140155216551648e-13
0,ackley,pattern-search,361,80,5.759837051755312e-13
0,ackley,pattern-search,366,81,5.759837051755312e-13
0,ackley,pattern-search,370,82,2.4558133304708463e-13
0,ackley,pattern-search,375,83,2.4558133304708463e-13
0,ackley,pattern-search,379,84,1.709743457922741e-13
0,ackley,pattern-search,384,85,1.709743457922741e-13
0,ackley,pattern-search,388,86,6.439293542825908e-14
0,ackley,pattern-search,393,87,6.439293542825908e-14
0,ackley,pattern-search,397,88,5.3734794391857577e-14
0,ackley,pattern-search,402,89,5.3734794391857577e-14
0,ackley,pattern-search,405,90,7.549516567451064e-15
0,ackley,pattern-search,410,91,7.549516567451064e-15
0,ackley,pattern-search,414,92,7.549516567451064e-15
0,ackley,pattern-search,418,93,3.9968028886505635e-15
0,ackley,pattern-search,423,94,3.9968028886505635e-15
0,ackley,pattern-search,427,95,3.9968028886505635e-15
0,ackley,pattern-search,431,96,3.9968028886505635e-15
0,ackley,pattern-search,435,97,3.9968028886505635e-15
0,ackley,pattern-search,439,98,3.9968028886505635e-15
0,ackley,pattern-search,443,99,3.9968028886505635e-15
0,ackley,pattern-search,447,100,3.9968028886505635e-15
0,ackley,pattern-search,451,101,3.9968028886505635e-15
0,ackley,pattern-search,455,102,3.9968028886505635e-15
0,ackley,pattern-search,459,103,3.9968028886505635e-15
0,ackley,pattern-search,463,104,3.9968028886505635e-15
0,ackley,pattern-search,467,105,3.9968028886505635e-15
0,ackley,pattern-search,471,106,3.9968028886505635e-15
0,ackley,pattern-search,475,107,3.9968028886505635e-15
0,ackley,pattern-search,479,108,3.9968028886505635e-15
0,ackley,pattern-search,483,109,3.9968028886505635e-15
0,ackley,pattern-search,487,110,3.9968028886505635e-15
0,ackley,pattern-search,491,111,3.9968028886505635e-15
0,ackley,pattern-search,495,112,3.9968028886505635e-15
0,ackley,pattern-search,499,113,3.9968028886505635e-15
0,ackley,pattern-search,503,114,3.9968028886505635e-15
0,ackley,pso,25,1,11.767299391307766
0,ackley,pso,50,2,11.767299391307766
0,ackley,pso,75,3,8.29164145901027
0,ackley,pso,100,4,5.910629507277065
0,ackley,pso,125,5,5.6746431823617804
0,ackley,pso,150,6,5.6746431823617804
0,ackley,pso,175,7,1.910102212412664
0,ackley,pso,200,8,1.910102212412664
0,ackley,pso,225,9,1.910102212412664
0,ackley,pso,250,10,1.910102212412664
0,ackley,pso,275,11,0.6026994945432596
0,ackley,pso,300,12,0.6026994945432596
0,ackley,pso,325,13,0.29273889393988783
0,ackley,pso,350,14,0.29273889393988783
0,ackley,pso,375,15,0.29273889393988783
0,ackley,pso,400,16,0.29273889393988783
0,ackley,pso,425,17,0.07753423512069135
0,ackley,pso,450,18,0.07753423512069135
0,ackley,pso,475,19,0.07753423512069135
0,ackley,pso,500,20,0.07753423512069135
